"player","game_date","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Steven Lorentz","2022-02-08","CAR","L","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"11:54",25
"Charlie McAvoy","2022-02-08","BOS","R","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"25:09",NA
"Clayton Keller","2022-02-08","ARI","L","R",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,5,0,"20:03",0
"Jesse Puljujarvi","2022-02-08","EDM","R","R",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,"14:03",NA
"Jakob Chychrun","2022-02-08","ARI","L","D",1,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,5,0,"24:36",NA
"Kale Clague","2022-02-08","MTL","L","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"19:03",NA
"Andrew Peeke","2022-02-08","CBJ","R","D",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"26:21",NA
"Nathan Bastian","2022-02-08","NJD","R","R",1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,NA,"14:11",100
"Nikita Zaitsev","2022-02-08","OTT","R","D",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,NA,"20:02",NA
"Brandon Duhaime","2022-02-08","MIN","L","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"7:27",NA
"Oskar Steen","2022-02-08","BOS","R","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"10:16",NA
"Dylan Gambrell","2022-02-08","OTT","R","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"10:43",20
"Dylan Coghlan","2022-02-08","VGK","R","D",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"13:11",NA
"Zach Aston-Reese","2022-02-08","PIT","L","L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"11:26",NA
"Gavin Bayreuther","2022-02-08","CBJ","L","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"14:07",NA
"Kailer Yamamoto","2022-02-08","EDM","R","R",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"14:19",NA
"Nicolas Hague","2022-02-08","VGK","L","D",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,"15:45",NA
"Kristian Vesalainen","2022-02-08","WPG","L","L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"8:27",NA
"Nick Suzuki","2022-02-08","MTL","R","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"18:58",52.2
"Martin Necas","2022-02-08","CAR","R","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"16:10",100
"Erik Brannstrom","2022-02-08","OTT","L","D",1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,"16:04",NA
"Johnathan Kovacevic","2022-02-08","WPG","R","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"9:01",NA
"Mark Kastelic","2022-02-08","OTT","R","C",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,"9:01",71.4
"Kristian Reichel","2022-02-08","WPG","R","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"11:06",NA
"Ryan McLeod","2022-02-08","EDM","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"15:03",25
"Evan Bouchard","2022-02-08","EDM","R","D",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,"24:47",NA
"Ilya Lyubushkin","2022-02-08","ARI","R","D",1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,2,0,"17:24",NA
"Connor Dewar","2022-02-08","MIN","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"7:54",100
"Alexander Romanov","2022-02-08","MTL","L","D",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"21:04",NA
"Joe Snively","2022-02-08","WSH","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"12:26",NA
"Nico Sturm","2022-02-08","MIN","L","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"9:48",33.3
"Cole Caufield","2022-02-08","MTL","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"15:28",NA
"Matt Boldy","2022-02-08","MIN","L","L",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"14:51",NA
"Ville Heinola","2022-02-08","WPG","L","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"11:05",NA
"Connor McMichael","2022-02-08","WSH","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"7:57",NA
"Seth Jarvis","2022-02-08","CAR","R","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"12:36",100
"Cole Perfetti","2022-02-08","WPG","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"15:50",0
"Radim Zohorna","2022-02-08","PIT","L","L",1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,NA,"11:42",0
"Artem Zub","2022-02-08","OTT","R","D",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"19:26",NA
"Yegor Chinakhov","2022-02-08","CBJ","L","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"16:07",NA
"Janis Moser","2022-02-08","ARI","L","D",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"17:57",NA
"Cole Sillinger","2022-02-08","CBJ","L","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"17:22",60
