"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Tom Wilson",20212022,"WSH","R","R",43,13,18,31,8,58,0.72,9,24,3,5,1,2,1,4,86,15.1,"19:24",50
"Shea Theodore",20212022,"VGK","L","D",42,8,23,31,4,12,0.74,7,21,1,10,0,0,1,1,112,7.1,"23:18",NA
"Alexander Kerfoot",20212022,"TOR","L","C",43,6,25,31,16,8,0.72,6,28,0,1,0,2,0,1,61,9.8,"15:34",37.8
"Sam Bennett",20212022,"FLA","L","C",37,21,9,30,20,41,0.81,16,23,5,6,0,1,1,6,128,16.4,"17:28",47
"Jared McCann",20212022,"SEA","L","L",41,19,11,30,-10,10,0.73,13,20,6,10,0,0,0,1,105,18.1,"16:04",46.9
"Boone Jenner",20212022,"CBJ","L","C",43,18,12,30,-9,18,0.7,12,23,6,7,0,0,0,2,117,15.4,"20:12",54.4
"Brayden Point",20212022,"TBL","R","C",32,16,14,30,2,20,0.94,13,22,3,8,0,0,1,3,96,16.7,"19:55",50.6
"Tage Thompson",20212022,"BUF","R","R",41,14,16,30,-10,13,0.73,10,20,4,10,0,0,0,0,130,10.8,"17:45",40.8
"Reilly Smith",20212022,"VGK","L","R",44,12,18,30,2,6,0.68,7,20,3,7,2,3,0,2,116,10.3,"17:56",33.3
"Brady Tkachuk",20212022,"OTT","L","L",38,12,18,30,5,66,0.79,9,26,3,4,0,0,1,2,133,9,"18:46",54.1
"Vincent Trocheck",20212022,"CAR","R","C",43,11,19,30,10,49,0.7,7,22,4,8,0,0,0,2,73,15.1,"17:54",54.7
"Brent Burns",20212022,"SJS","R","D",46,4,26,30,-5,26,0.65,2,20,2,9,0,1,0,0,124,3.2,"26:13",0
"Liam Foudy",20212022,"CBJ","L","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"11:51",NA
"Cameron Hillis",20212022,"MTL","R","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"10:15",50
"Kevin Bahl",20212022,"NJD","L","D",4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,4,0,"13:35",NA
"Jan Jenik",20212022,"ARI","L","R",3,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,2,0,"6:42",22.2
"Jordan Gross",20212022,"COL","R","D",1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,"8:19",NA
"Declan Chisholm",20212022,"WPG","L","D",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,"12:57",NA
"David Gustafsson",20212022,"WPG","L","C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2:28",0
"John Leonard",20212022,"SJS","L","L",5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,9,0,"10:37",NA
"Egor Sokolov",20212022,"OTT","R","L",8,0,0,0,-6,4,0,0,0,0,0,0,0,0,0,8,0,"10:22",NA
"Jake Christiansen",20212022,"CBJ","L","D",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"10:29",NA
"Egor Zamula",20212022,"PHI","L","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"19:46",NA
"Samuel Fagemo",20212022,"LAK","R","L",4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,5,0,"13:43",NA
"Taro Hirose",20212022,"DET","L","L",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,"13:36",100
